French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
aide,help
demande,request
genre,kind
mettre,to put
laisse,leash
eux,them
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
vont,will
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
leurs,their
donné,given
corps,body
endroit,place
façon,way
dont,whose
trouve,find
premier,first
première,first
côté,side
vieux,old
sois,be
matin,morning
tellement,so much
enfant,child
suite,after
venez,come
devant,in front of
vers,towards
demandé,request
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
enfin,finally
espère,hope
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
compte,account
croire,believe
gros,large
plutôt,rather
filles,girls
jouer,to play
